customerName,exp,productName
"Baane Mini Imports",214.30,"1952 Alpine Renault 1300"
"Mini Gifts Distributors Ltd.",214.30,"1952 Alpine Renault 1300"
"Cambridge Collectables Co.",214.30,"1952 Alpine Renault 1300"
"Classic Legends Inc.",212.16,"1952 Alpine Renault 1300"
"Scandinavian Gift Ideas",210.01,"1952 Alpine Renault 1300"
"Australian Gift Network, Co",207.87,"1952 Alpine Renault 1300"
"Corrida Auto Replicas, Ltd",207.80,"2001 Ferrari Enzo"
"Québec Home Shopping Network",205.73,"1952 Alpine Renault 1300"
"Amica Models & Co.",205.73,"1952 Alpine Renault 1300"
"Corrida Auto Replicas, Ltd",205.73,"1952 Alpine Renault 1300"
"West Coast Collectables Co.",205.73,"1952 Alpine Renault 1300"
"Danish Wholesale Imports",205.72,"2001 Ferrari Enzo"
"Lyon Souveniers",205.72,"2001 Ferrari Enzo"
"Super Scale Inc.",203.64,"2001 Ferrari Enzo"
"Saveley & Henriot, Co.",203.59,"1952 Alpine Renault 1300"
"Canadian Gift Exchange Network",203.59,"1952 Alpine Renault 1300"
"Euro+ Shopping Channel",201.57,"2001 Ferrari Enzo"
"Gift Depot Inc.",201.57,"2001 Ferrari Enzo"
"Euro+ Shopping Channel",201.44,"1952 Alpine Renault 1300"
"Auto Associés & Cie.",201.44,"1952 Alpine Renault 1300"
"Volvo Model Replicas, Co",197.16,"1952 Alpine Renault 1300"
"Dragon Souveniers, Ltd.",195.33,"2001 Ferrari Enzo"
"Mini Creations Ltd.",195.33,"2001 Ferrari Enzo"
"Suominen Souveniers",195.33,"2001 Ferrari Enzo"
"Anna's Decorations, Ltd",195.01,"1952 Alpine Renault 1300"
"Collectables For Less Inc.",195.01,"1952 Alpine Renault 1300"
"Super Scale Inc.",195.01,"1952 Alpine Renault 1300"
"Gift Depot Inc.",193.66,"2003 Harley-Davidson Eagle Drag Bike"
"Baane Mini Imports",193.25,"2001 Ferrari Enzo"
"Muscle Machine Inc",193.25,"2001 Ferrari Enzo"
"CAF Imports",193.25,"2001 Ferrari Enzo"
"Salzburg Collectables",192.62,"1968 Ford Mustang"
"Mini Wheels Co.",191.72,"2003 Harley-Davidson Eagle Drag Bike"
"Vida Sport, Ltd",190.68,"1968 Ford Mustang"
"Australian Collectors, Co.",189.79,"2003 Harley-Davidson Eagle Drag Bike"
"Diecast Classics Inc.",189.79,"2003 Harley-Davidson Eagle Drag Bike"
"Osaka Souveniers Co.",189.79,"2003 Harley-Davidson Eagle Drag Bike"
"Clover Collections, Co.",189.10,"2001 Ferrari Enzo"
"Corporate Gift Ideas Co.",188.73,"1968 Ford Mustang"
"L'ordine Souveniers",188.73,"1968 Ford Mustang"
"Australian Collectors, Co.",188.58,"1952 Alpine Renault 1300"
"Mini Wheels Co.",188.58,"1952 Alpine Renault 1300"
"Lyon Souveniers",187.85,"2003 Harley-Davidson Eagle Drag Bike"
"Mini Classics",187.85,"2003 Harley-Davidson Eagle Drag Bike"
"Diecast Classics Inc.",187.02,"2001 Ferrari Enzo"
"Amica Models & Co.",187.02,"2001 Ferrari Enzo"
"Technics Stores Inc.",186.44,"1952 Alpine Renault 1300"
"La Rochelle Gifts",184.84,"1968 Ford Mustang"
"Blauer See Auto, Co.",184.84,"1968 Ford Mustang"
"Volvo Model Replicas, Co",184.84,"1968 Ford Mustang"
"Online Mini Collectables",184.84,"1968 Ford Mustang"
"Land of Toys Inc.",182.90,"1968 Ford Mustang"
"Scandinavian Gift Ideas",182.90,"1968 Ford Mustang"
"AV Stores, Co.",182.86,"2001 Ferrari Enzo"
"Dragon Souveniers, Ltd.",182.16,"1952 Alpine Renault 1300"
"Corporate Gift Ideas Co.",182.16,"1952 Alpine Renault 1300"
"Technics Stores Inc.",182.04,"2003 Harley-Davidson Eagle Drag Bike"
"Herkku Gifts",182.04,"2003 Harley-Davidson Eagle Drag Bike"
"Suominen Souveniers",180.95,"1968 Ford Mustang"
"Reims Collectables",180.79,"2001 Ferrari Enzo"
GiftsForHim.com,180.79,"2001 Ferrari Enzo"
"Classic Gift Ideas, Inc",180.01,"1952 Alpine Renault 1300"
"Online Diecast Creations Co.",180.01,"1952 Alpine Renault 1300"
"Mini Gifts Distributors Ltd.",178.71,"2001 Ferrari Enzo"
"Down Under Souveniers, Inc",178.17,"2003 Harley-Davidson Eagle Drag Bike"
"Tokyo Collectables, Ltd",178.17,"2003 Harley-Davidson Eagle Drag Bike"
"Tokyo Collectables, Ltd",177.87,"1952 Alpine Renault 1300"
"Saveley & Henriot, Co.",176.63,"2001 Ferrari Enzo"
"La Corne D'abondance, Co.",176.63,"2001 Ferrari Enzo"
"Heintze Collectables",176.63,"2001 Ferrari Enzo"
"UK Collectables, Ltd.",174.29,"2003 Harley-Davidson Eagle Drag Bike"
"Mini Gifts Distributors Ltd.",173.17,"1968 Ford Mustang"
"Dragon Souveniers, Ltd.",173.02,"1969 Ford Falcon"
"Gift Depot Inc.",173.02,"1969 Ford Falcon"
"Land of Toys Inc.",172.36,"2003 Harley-Davidson Eagle Drag Bike"
"Tekni Collectables Inc.",172.36,"2003 Harley-Davidson Eagle Drag Bike"
"Souveniers And Things Co.",171.44,"1952 Alpine Renault 1300"
"Amica Models & Co.",171.29,"1969 Ford Falcon"
"Auto Canal+ Petit",171.22,"1968 Ford Mustang"
"Corporate Gift Ideas Co.",170.42,"2003 Harley-Davidson Eagle Drag Bike"
"Mini Gifts Distributors Ltd.",169.56,"1969 Ford Falcon"
"Muscle Machine Inc",169.56,"1969 Ford Falcon"
"Heintze Collectables",169.56,"1969 Ford Falcon"
GiftsForHim.com,169.56,"1969 Ford Falcon"
"Mini Gifts Distributors Ltd.",169.34,"1992 Ferrari 360 Spider red"
"La Corne D'abondance, Co.",169.34,"1992 Ferrari 360 Spider red"
"Alpha Cognac",169.34,"1992 Ferrari 360 Spider red"
"Motor Mint Distributors Inc.",169.34,"1992 Ferrari 360 Spider red"
"Handji Gifts& Co",168.30,"1917 Grand Touring Sedan"
"Rovelli Gifts",168.30,"1917 Grand Touring Sedan"
"Marseille Mini Autos",168.30,"1917 Grand Touring Sedan"
"Suominen Souveniers",167.83,"1969 Ford Falcon"
"Signal Gift Stores",167.65,"1992 Ferrari 360 Spider red"
"Australian Collectors, Co.",167.65,"1992 Ferrari 360 Spider red"
"Anna's Decorations, Ltd",167.65,"1992 Ferrari 360 Spider red"
"Oulu Toy Supplies, Inc.",167.65,"1992 Ferrari 360 Spider red"
"Mini Gifts Distributors Ltd.",167.06,"1928 Mercedes-Benz SSK"
"Blauer See Auto, Co.",167.06,"1928 Mercedes-Benz SSK"
"Corrida Auto Replicas, Ltd",167.06,"1928 Mercedes-Benz SSK"
"Signal Collectibles Ltd.",167.06,"1928 Mercedes-Benz SSK"
"UK Collectables, Ltd.",166.60,"1917 Grand Touring Sedan"
"Corrida Auto Replicas, Ltd",166.60,"1917 Grand Touring Sedan"
"Marta's Replicas Co.",166.55,"2003 Harley-Davidson Eagle Drag Bike"
"L'ordine Souveniers",166.24,"2001 Ferrari Enzo"
"Baane Mini Imports",166.10,"1969 Ford Falcon"
"Clover Collections, Co.",166.10,"1969 Ford Falcon"
"Euro+ Shopping Channel",165.95,"1992 Ferrari 360 Spider red"
"Québec Home Shopping Network",165.95,"1992 Ferrari 360 Spider red"
"Salzburg Collectables",165.95,"1992 Ferrari 360 Spider red"
"Iberia Gift Imports, Corp.",165.95,"1992 Ferrari 360 Spider red"
"Toms Spezialitäten, Ltd",165.38,"1968 Ford Mustang"
"Cruz & Sons Co.",165.38,"1968 Ford Mustang"
"Extreme Desk Decorations, Ltd",164.90,"1917 Grand Touring Sedan"
"Daedalus Designs Imports",164.61,"2003 Harley-Davidson Eagle Drag Bike"
"Toys of Finland, Co.",164.61,"2003 Harley-Davidson Eagle Drag Bike"
"Muscle Machine Inc",164.26,"1992 Ferrari 360 Spider red"
FunGiftIdeas.com,164.26,"1992 Ferrari 360 Spider red"
"AV Stores, Co.",163.69,"1928 Mercedes-Benz SSK"
"Anna's Decorations, Ltd",163.44,"1968 Ford Mustang"
"Down Under Souveniers, Inc",163.44,"1968 Ford Mustang"
"Euro+ Shopping Channel",162.67,"2003 Harley-Davidson Eagle Drag Bike"
"Reims Collectables",162.64,"1969 Ford Falcon"
"Vida Sport, Ltd",162.57,"1992 Ferrari 360 Spider red"
"Amica Models & Co.",161.50,"1917 Grand Touring Sedan"
"Euro+ Shopping Channel",161.49,"1968 Ford Mustang"
"Danish Wholesale Imports",161.49,"1968 Ford Mustang"
"Collectables For Less Inc.",161.49,"1968 Ford Mustang"
"L'ordine Souveniers",160.91,"1969 Ford Falcon"
"Marta's Replicas Co.",160.87,"1992 Ferrari 360 Spider red"
"Mini Gifts Distributors Ltd.",160.46,"1998 Chrysler Plymouth Prowler"
"Suominen Souveniers",160.46,"1998 Chrysler Plymouth Prowler"
"Mini Gifts Distributors Ltd.",159.80,"1917 Grand Touring Sedan"
"Toms Spezialitäten, Ltd",159.18,"1992 Ferrari 360 Spider red"
"Vitachrome Inc.",158.80,"2003 Harley-Davidson Eagle Drag Bike"
"Australian Gift Network, Co",158.80,"2003 Harley-Davidson Eagle Drag Bike"
"Amica Models & Co.",158.63,"1928 Mercedes-Benz SSK"
"Lyon Souveniers",158.63,"1928 Mercedes-Benz SSK"
"Online Diecast Creations Co.",158.63,"1928 Mercedes-Benz SSK"
"Euro+ Shopping Channel",157.69,"1980s Black Hawk Helicopter"
"UK Collectables, Ltd.",157.60,"1968 Ford Mustang"
"Euro+ Shopping Channel",156.94,"1928 Mercedes-Benz SSK"
"Corporate Gift Ideas Co.",156.94,"1928 Mercedes-Benz SSK"
FunGiftIdeas.com,156.86,"2003 Harley-Davidson Eagle Drag Bike"
"Kelly's Gift Shop",156.86,"2003 Harley-Davidson Eagle Drag Bike"
"Euro+ Shopping Channel",156.40,"1917 Grand Touring Sedan"
"Signal Collectibles Ltd.",156.40,"1917 Grand Touring Sedan"
"Euro+ Shopping Channel",155.72,"1969 Ford Falcon"
"Herkku Gifts",155.66,"1968 Ford Mustang"
"Marseille Mini Autos",155.66,"1968 Ford Mustang"
"La Rochelle Gifts",154.93,"2003 Harley-Davidson Eagle Drag Bike"
Toys4GrownUps.com,154.93,"2003 Harley-Davidson Eagle Drag Bike"
"Motor Mint Distributors Inc.",154.70,"1917 Grand Touring Sedan"
"Danish Wholesale Imports",154.54,"1980s Black Hawk Helicopter"
"Dragon Souveniers, Ltd.",154.10,"1992 Ferrari 360 Spider red"
"Royale Belge",154.10,"1992 Ferrari 360 Spider red"
"Blauer See Auto, Co.",153.91,"1998 Chrysler Plymouth Prowler"
"La Corne D'abondance, Co.",153.91,"1998 Chrysler Plymouth Prowler"
"Signal Gift Stores",153.00,"1917 Grand Touring Sedan"
"Muscle Machine Inc",153.00,"1917 Grand Touring Sedan"
"AV Stores, Co.",153.00,"1917 Grand Touring Sedan"
"Mini Caravy",153.00,"1917 Grand Touring Sedan"
"Souveniers And Things Co.",153.00,"1917 Grand Touring Sedan"
"Australian Collectables, Ltd",153.00,"1917 Grand Touring Sedan"
"Handji Gifts& Co",152.41,"1992 Ferrari 360 Spider red"
"Frau da Collezione",152.41,"1992 Ferrari 360 Spider red"
"Oulu Toy Supplies, Inc.",152.27,"1998 Chrysler Plymouth Prowler"
"Saveley & Henriot, Co.",152.26,"1969 Ford Falcon"
"Souveniers And Things Co.",151.88,"1928 Mercedes-Benz SSK"
"Salzburg Collectables",151.38,"1980s Black Hawk Helicopter"
"Clover Collections, Co.",151.08,"1969 Corvair Monza"
"Super Scale Inc.",151.08,"1969 Corvair Monza"
"Mini Classics",150.71,"1992 Ferrari 360 Spider red"
"Stylish Desk Decors, Co.",150.71,"1992 Ferrari 360 Spider red"
"Euro+ Shopping Channel",150.63,"1998 Chrysler Plymouth Prowler"
"La Rochelle Gifts",150.62,"2002 Suzuki XREO"
"Online Mini Collectables",150.62,"2002 Suzuki XREO"
"Cruz & Sons Co.",149.81,"1980s Black Hawk Helicopter"
"Kelly's Gift Shop",149.60,"1917 Grand Touring Sedan"
"Diecast Classics Inc.",148.80,"1969 Ford Falcon"
"Auto Canal+ Petit",148.80,"1957 Corvette Convertible"
"Extreme Desk Decorations, Ltd",148.50,"1928 Mercedes-Benz SSK"
"The Sharp Gifts Warehouse",148.23,"1980s Black Hawk Helicopter"
"Dragon Souveniers, Ltd.",148.06,"1969 Corvair Monza"
"Vitachrome Inc.",148.06,"1969 Corvair Monza"
"Super Scale Inc.",147.74,"1962 LanciaA Delta 16V"
"La Rochelle Gifts",147.36,"1998 Chrysler Plymouth Prowler"
"Land of Toys Inc.",147.33,"1992 Ferrari 360 Spider red"
"Volvo Model Replicas, Co",147.33,"1992 Ferrari 360 Spider red"
"Herkku Gifts",147.33,"1992 Ferrari 360 Spider red"
"Mini Caravy",147.33,"1992 Ferrari 360 Spider red"
"Daedalus Designs Imports",147.31,"1957 Corvette Convertible"
"Mini Creations Ltd.",147.07,"1969 Ford Falcon"
"CAF Imports",147.07,"1969 Ford Falcon"
"Super Scale Inc.",147.07,"1969 Ford Falcon"
"Euro+ Shopping Channel",146.99,"1976 Ford Gran Torino"
"Saveley & Henriot, Co.",146.81,"1928 Mercedes-Benz SSK"
"Extreme Desk Decorations, Ltd",146.65,"1980s Black Hawk Helicopter"
"Bavarian Collectables Imports, Co.",146.65,"1980s Black Hawk Helicopter"
"Mini Creations Ltd.",146.55,"1969 Corvair Monza"
"Tokyo Collectables, Ltd",146.55,"1969 Corvair Monza"
Toys4GrownUps.com,146.10,"2002 Suzuki XREO"
"Marseille Mini Autos",145.82,"1957 Corvette Convertible"
"Iberia Gift Imports, Corp.",145.72,"1998 Chrysler Plymouth Prowler"
"UK Collectables, Ltd.",145.63,"1992 Ferrari 360 Spider red"
"Auto Canal+ Petit",145.52,"1976 Ford Gran Torino"
"AV Stores, Co.",145.34,"1969 Ford Falcon"
GiftsForHim.com,145.13,"1928 Mercedes-Benz SSK"
"Mini Gifts Distributors Ltd.",145.04,"1969 Corvair Monza"
"Gift Depot Inc.",145.04,"1969 Corvair Monza"
"AV Stores, Co.",145.04,"1969 Corvair Monza"
"Down Under Souveniers, Inc",145.04,"1969 Corvair Monza"
